review_order,facet_id,canonical_target,original_value_candidate,corrected_value_candidate,reviewer_decision,candidate_expression,category_count,category_local_codes,apply_status,reason
1,product_form,powder,capsule,powder,NEEDS_REVIEW,가루,15,"{""health-functional-food:blood_sugar_metabolic"": 2, ""health-functional-food:dietary_fiber"": 1, ""health-functional-food:eye_health"": 5, ""health-functional-food:heart_blood"": 3, ""health-functional-food:joint_health"": 3, ""health-functional-food:liver_health"": 5, ""health-functional-food:male_health"": 2, ""health-functional-food:other_functional"": 3, ""health-functional-food:probiotics"": 1, ""health-functional-food:propolis"": 3, ""health-functional-food:protein"": 1, ""health-functional-food:red_ginseng"": 3, ""health-functional-food:skin_collagen"": 2, ""health-functional-food:theanine_sleep"": 3, ""health-functional-food:vitamin_mineral"": 3}",APPLIED,Reviewed alias target resolved through category-local product_form crosswalk.
2,product_form,powder,liquid,powder,NEEDS_REVIEW,가루,15,"{""health-functional-food:blood_sugar_metabolic"": 2, ""health-functional-food:dietary_fiber"": 1, ""health-functional-food:eye_health"": 5, ""health-functional-food:heart_blood"": 3, ""health-functional-food:joint_health"": 3, ""health-functional-food:liver_health"": 5, ""health-functional-food:male_health"": 2, ""health-functional-food:other_functional"": 3, ""health-functional-food:probiotics"": 1, ""health-functional-food:propolis"": 3, ""health-functional-food:protein"": 1, ""health-functional-food:red_ginseng"": 3, ""health-functional-food:skin_collagen"": 2, ""health-functional-food:theanine_sleep"": 3, ""health-functional-food:vitamin_mineral"": 3}",APPLIED,Reviewed alias target resolved through category-local product_form crosswalk.
3,product_form,powder,powder,,APPROVE_ALIAS,가루,15,"{""health-functional-food:blood_sugar_metabolic"": 2, ""health-functional-food:dietary_fiber"": 1, ""health-functional-food:eye_health"": 5, ""health-functional-food:heart_blood"": 3, ""health-functional-food:joint_health"": 3, ""health-functional-food:liver_health"": 5, ""health-functional-food:male_health"": 2, ""health-functional-food:other_functional"": 3, ""health-functional-food:probiotics"": 1, ""health-functional-food:propolis"": 3, ""health-functional-food:protein"": 1, ""health-functional-food:red_ginseng"": 3, ""health-functional-food:skin_collagen"": 2, ""health-functional-food:theanine_sleep"": 3, ""health-functional-food:vitamin_mineral"": 3}",APPLIED,Reviewed alias target resolved through category-local product_form crosswalk.
4,product_form,powder,tablet,powder,NEEDS_REVIEW,가루,15,"{""health-functional-food:blood_sugar_metabolic"": 2, ""health-functional-food:dietary_fiber"": 1, ""health-functional-food:eye_health"": 5, ""health-functional-food:heart_blood"": 3, ""health-functional-food:joint_health"": 3, ""health-functional-food:liver_health"": 5, ""health-functional-food:male_health"": 2, ""health-functional-food:other_functional"": 3, ""health-functional-food:probiotics"": 1, ""health-functional-food:propolis"": 3, ""health-functional-food:protein"": 1, ""health-functional-food:red_ginseng"": 3, ""health-functional-food:skin_collagen"": 2, ""health-functional-food:theanine_sleep"": 3, ""health-functional-food:vitamin_mineral"": 3}",APPLIED,Reviewed alias target resolved through category-local product_form crosswalk.
5,intake_convenience,convenient,convenient,,APPROVE_ALIAS,먹기 편,0,{},DEFERRED_TAXONOMY_NOT_APPROVED,Facet is not part of approved V2.2 taxonomy.
6,intake_convenience,convenient,inconvenient,convenient,NEEDS_REVIEW,먹기 편,0,{},DEFERRED_TAXONOMY_NOT_APPROVED,Facet is not part of approved V2.2 taxonomy.
7,swallowability,easy,easy,,APPROVE_ALIAS,목넘김,0,{},DEFERRED_TAXONOMY_NOT_APPROVED,Facet is not part of approved V2.2 taxonomy.
8,swallowability,easy,easy,,APPROVE_ALIAS,넘기기,0,{},DEFERRED_TAXONOMY_NOT_APPROVED,Facet is not part of approved V2.2 taxonomy.
9,swallowability,easy,easy,,APPROVE_ALIAS,삼키기,0,{},DEFERRED_TAXONOMY_NOT_APPROVED,Facet is not part of approved V2.2 taxonomy.
10,tablet_size,large,large,,APPROVE_ALIAS,큰 알,0,{},DEFERRED_TAXONOMY_NOT_APPROVED,Facet is not part of approved V2.2 taxonomy.
11,tablet_size,large,small,large,NEEDS_REVIEW,큰 알,0,{},DEFERRED_TAXONOMY_NOT_APPROVED,Facet is not part of approved V2.2 taxonomy.
12,taste,taste,bitter,taste,NEEDS_REVIEW,맛이,0,{},DEFERRED_TAXONOMY_NOT_APPROVED,Facet is not part of approved V2.2 taxonomy.
13,tablet_size,size,large,size,NEEDS_REVIEW,사이즈가,0,{},DEFERRED_TAXONOMY_NOT_APPROVED,Facet is not part of approved V2.2 taxonomy.
14,tablet_size,size,small,size,NEEDS_REVIEW,사이즈가,0,{},DEFERRED_TAXONOMY_NOT_APPROVED,Facet is not part of approved V2.2 taxonomy.
15,packaging,packaging,individual_packaging,packaging,NEEDS_REVIEW,포장도,0,{},DEFERRED_TAXONOMY_NOT_APPROVED,Facet is not part of approved V2.2 taxonomy.
16,packaging,packaging,portable,packaging,NEEDS_REVIEW,포장도,0,{},DEFERRED_TAXONOMY_NOT_APPROVED,Facet is not part of approved V2.2 taxonomy.
17,odor,smell,fishy,smell,NEEDS_REVIEW,향이,0,{},DEFERRED_TAXONOMY_NOT_APPROVED,Facet is not part of approved V2.2 taxonomy.
18,taste,taste,bitter,taste,NEEDS_REVIEW,맛은,0,{},DEFERRED_TAXONOMY_NOT_APPROVED,Facet is not part of approved V2.2 taxonomy.
19,packaging,packaging,individual_packaging,packaging,NEEDS_REVIEW,포장이,0,{},DEFERRED_TAXONOMY_NOT_APPROVED,Facet is not part of approved V2.2 taxonomy.
20,packaging,packaging,portable,packaging,NEEDS_REVIEW,포장이,0,{},DEFERRED_TAXONOMY_NOT_APPROVED,Facet is not part of approved V2.2 taxonomy.
21,odor,odor,fishy,odor,APPROVE_ALIAS,냄새가 나,0,{},DEFERRED_TAXONOMY_NOT_APPROVED,Facet is not part of approved V2.2 taxonomy.
22,taste,bitter,bitter,,REJECT_DIFFERENT_MEANING,단맛,0,{},REJECTED_BY_HUMAN,Human decision rejected this candidate.
23,odor,fishy,fishy,,APPROVE_ALIAS,비린내,0,{},DEFERRED_TAXONOMY_NOT_APPROVED,Facet is not part of approved V2.2 taxonomy.
24,odor,odor,fishy,odor,REJECT_DIFFERENT_MEANING,냄새가 안,0,{},REJECTED_BY_HUMAN,Human decision rejected this candidate.
25,taste,taste,bitter,taste,APPROVE_ALIAS,쓴맛,0,{},DEFERRED_TAXONOMY_NOT_APPROVED,Facet is not part of approved V2.2 taxonomy.
26,product_form,tablet,capsule,tablet,NEEDS_REVIEW,정제,16,"{""health-functional-food:blood_sugar_metabolic"": 1, ""health-functional-food:dietary_fiber"": 3, ""health-functional-food:eye_health"": 3, ""health-functional-food:heart_blood"": 2, ""health-functional-food:joint_health"": 1, ""health-functional-food:liver_health"": 1, ""health-functional-food:male_health"": 3, ""health-functional-food:omega_fatty_acid"": 6, ""health-functional-food:other_functional"": 1, ""health-functional-food:probiotics"": 3, ""health-functional-food:propolis"": 4, ""health-functional-food:protein"": 2, ""health-functional-food:red_ginseng"": 4, ""health-functional-food:skin_collagen"": 3, ""health-functional-food:theanine_sleep"": 1, ""health-functional-food:vitamin_mineral"": 1}",APPLIED,Reviewed alias target resolved through category-local product_form crosswalk.
27,product_form,tablet,liquid,tablet,NEEDS_REVIEW,정제,16,"{""health-functional-food:blood_sugar_metabolic"": 1, ""health-functional-food:dietary_fiber"": 3, ""health-functional-food:eye_health"": 3, ""health-functional-food:heart_blood"": 2, ""health-functional-food:joint_health"": 1, ""health-functional-food:liver_health"": 1, ""health-functional-food:male_health"": 3, ""health-functional-food:omega_fatty_acid"": 6, ""health-functional-food:other_functional"": 1, ""health-functional-food:probiotics"": 3, ""health-functional-food:propolis"": 4, ""health-functional-food:protein"": 2, ""health-functional-food:red_ginseng"": 4, ""health-functional-food:skin_collagen"": 3, ""health-functional-food:theanine_sleep"": 1, ""health-functional-food:vitamin_mineral"": 1}",APPLIED,Reviewed alias target resolved through category-local product_form crosswalk.
28,product_form,tablet,powder,tablet,NEEDS_REVIEW,정제,16,"{""health-functional-food:blood_sugar_metabolic"": 1, ""health-functional-food:dietary_fiber"": 3, ""health-functional-food:eye_health"": 3, ""health-functional-food:heart_blood"": 2, ""health-functional-food:joint_health"": 1, ""health-functional-food:liver_health"": 1, ""health-functional-food:male_health"": 3, ""health-functional-food:omega_fatty_acid"": 6, ""health-functional-food:other_functional"": 1, ""health-functional-food:probiotics"": 3, ""health-functional-food:propolis"": 4, ""health-functional-food:protein"": 2, ""health-functional-food:red_ginseng"": 4, ""health-functional-food:skin_collagen"": 3, ""health-functional-food:theanine_sleep"": 1, ""health-functional-food:vitamin_mineral"": 1}",APPLIED,Reviewed alias target resolved through category-local product_form crosswalk.
29,product_form,tablet,tablet,tablet,APPROVE_ALIAS,정제,16,"{""health-functional-food:blood_sugar_metabolic"": 1, ""health-functional-food:dietary_fiber"": 3, ""health-functional-food:eye_health"": 3, ""health-functional-food:heart_blood"": 2, ""health-functional-food:joint_health"": 1, ""health-functional-food:liver_health"": 1, ""health-functional-food:male_health"": 3, ""health-functional-food:omega_fatty_acid"": 6, ""health-functional-food:other_functional"": 1, ""health-functional-food:probiotics"": 3, ""health-functional-food:propolis"": 4, ""health-functional-food:protein"": 2, ""health-functional-food:red_ginseng"": 4, ""health-functional-food:skin_collagen"": 3, ""health-functional-food:theanine_sleep"": 1, ""health-functional-food:vitamin_mineral"": 1}",APPLIED,Reviewed alias target resolved through category-local product_form crosswalk.
