review_id,product_id,product_name,service_category,review_text,mapping_scope,consumer_expression,normalized_concept,existing_facet_match,existing_value_match,discovery_type,proposed_facet,proposed_value,evidence_sentence,confidence,medical_outcome_flag
430,134,뉴트리미 마이팩 하루 한 포 맞춤영양제,health-functional-food,멀티비타민과 다른 영양제 골고루 넣어서 신청했어요~ 마이팩으로 필요한 영양제 위주로 구성하니 좋네요. 약처럼 한 봉지 안에 들어 있어서 한 포씩 뜯어서 휴대하기도 좋고 구매하면 상담을 통해 필요한 영양성분을 추천해주니 더 좋았습니다.,HFF_MAPPED,성분,ingredient_inclusion:ingredient_mentioned,ingredient_inclusion,ingredient_mentioned,EXISTING_FACET,,,제 골고루 넣어서 신청했어요~ 마이팩으로 필요한 영양제 위주로 구성하니 좋네요. 약처럼 한 봉지 안에 들어 있어서 한 포씩 뜯어서 휴대하기도 좋고 구매하면 상담을 통해 필요한 영양성분을 추천해주니 더 좋았습니다.,HIGH,False
430,134,뉴트리미 마이팩 하루 한 포 맞춤영양제,health-functional-food,멀티비타민과 다른 영양제 골고루 넣어서 신청했어요~ 마이팩으로 필요한 영양제 위주로 구성하니 좋네요. 약처럼 한 봉지 안에 들어 있어서 한 포씩 뜯어서 휴대하기도 좋고 구매하면 상담을 통해 필요한 영양성분을 추천해주니 더 좋았습니다.,HFF_MAPPED,휴대,packaging:portable,packaging,portable,EXISTING_FACET,,,골고루 넣어서 신청했어요~ 멀티비타민과 다른 영양제 골고루 넣어서 신청했어요~ 마이팩으로 필요한 영양제 위주로 구성하니 좋네요. 약처럼 한 봉지 안에 들어 있어서 한 포씩 뜯어서 휴대하기도 좋고 구매하면 상담을 통해 필요한 영양성분을 추천해주니 더 좋았습니다.,HIGH,False
429,134,뉴트리미 마이팩 하루 한 포 맞춤영양제,health-functional-food,개별적으로 먹던 영양제를 한봉씩 소포장 되어있어서 이것저것 잊어버리지 않고 챙겨먹을 수 있어서 좋습니다. 특히 이렇게 먹으니 약 창고?가 정리가 되네요. 너무 정리가 안되어있었거든요 무튼 하나씩 챙겨 먹었던것을 이렇게 약챙겨 먹듯이 먹으니 너무 좋습니다 !!!,HFF_MAPPED,챙겨,intake_convenience:convenient,intake_convenience,convenient,EXISTING_FACET,,,좋아 개별적으로 먹던 영양제를 한봉씩 소포장 되어있어서 이것저것 잊어버리지 않고 챙겨먹을 수 있어서 좋습니다. 특히 이렇게 먹으니 약 창고?가 정리가 되네요. 너무 정리가 안되어있었거든요 무튼 하나씩 챙겨 먹었던것을 이렇게 약챙겨 먹듯이 먹으니 너무 좋습니다 !!,HIGH,False
429,134,뉴트리미 마이팩 하루 한 포 맞춤영양제,health-functional-food,개별적으로 먹던 영양제를 한봉씩 소포장 되어있어서 이것저것 잊어버리지 않고 챙겨먹을 수 있어서 좋습니다. 특히 이렇게 먹으니 약 창고?가 정리가 되네요. 너무 정리가 안되어있었거든요 무튼 하나씩 챙겨 먹었던것을 이렇게 약챙겨 먹듯이 먹으니 너무 좋습니다 !!!,HFF_MAPPED,포장,packaging:packaging,packaging,packaging,EXISTING_FACET,,,좋아 개별적으로 먹던 영양제를 한봉씩 소포장 되어있어서 이것저것 잊어버리지 않고 챙겨먹을 수 있어서 좋습니다. 특히 이렇게 먹으니 약 창고?가 정리가 되네요. 너무 정리가 안되어있었거든요 무튼 하나씩 챙겨 먹었던것을 이렇게,HIGH,False
428,134,뉴트리미 마이팩 하루 한 포 맞춤영양제,health-functional-food,전문상담사님과 꼼꼼하게 통화한 후에 나에게 필요한 영양제들만 추천받을 수 있어서 좋아요. 그리고 매일 영양제 챙겨먹기 힘들었는데 이렇게 하루 한포로 소분되어있어서 매일 잘 챙겨먹고 있네요^^,HFF_MAPPED,하루 한,intake_frequency,,,NEW_FACET_CANDIDATE,intake_frequency,,편하고 정말 좋아요! 전문상담사님과 꼼꼼하게 통화한 후에 나에게 필요한 영양제들만 추천받을 수 있어서 좋아요. 그리고 매일 영양제 챙겨먹기 힘들었는데 이렇게 하루 한포로 소분되어있어서 매일 잘 챙겨먹고 있네요^^,MEDIUM,False
428,134,뉴트리미 마이팩 하루 한 포 맞춤영양제,health-functional-food,전문상담사님과 꼼꼼하게 통화한 후에 나에게 필요한 영양제들만 추천받을 수 있어서 좋아요. 그리고 매일 영양제 챙겨먹기 힘들었는데 이렇게 하루 한포로 소분되어있어서 매일 잘 챙겨먹고 있네요^^,HFF_MAPPED,챙겨,intake_convenience:convenient,intake_convenience,convenient,EXISTING_FACET,,,편하고 정말 좋아요! 전문상담사님과 꼼꼼하게 통화한 후에 나에게 필요한 영양제들만 추천받을 수 있어서 좋아요. 그리고 매일 영양제 챙겨먹기 힘들었는데 이렇게 하루 한포로 소분되어있어서 매일 잘 챙겨먹고 있네요^^,HIGH,False
428,134,뉴트리미 마이팩 하루 한 포 맞춤영양제,health-functional-food,전문상담사님과 꼼꼼하게 통화한 후에 나에게 필요한 영양제들만 추천받을 수 있어서 좋아요. 그리고 매일 영양제 챙겨먹기 힘들었는데 이렇게 하루 한포로 소분되어있어서 매일 잘 챙겨먹고 있네요^^,HFF_MAPPED,먹기 힘,intake_convenience:inconvenient,intake_convenience,inconvenient,EXISTING_FACET,,,편하고 정말 좋아요! 전문상담사님과 꼼꼼하게 통화한 후에 나에게 필요한 영양제들만 추천받을 수 있어서 좋아요. 그리고 매일 영양제 챙겨먹기 힘들었는데 이렇게 하루 한포로 소분되어있어서 매일 잘 챙겨먹고 있네요^^,HIGH,False
427,134,뉴트리미 마이팩 하루 한 포 맞춤영양제,health-functional-food,"전문가가 디테일한 상담을 통해 필요한 것만 추천해가지고, 내영양에 필요한 것만 한번에 제공되니 편하고 좋습니다. 크기도 클까 걱정되었는데! 생각보다 아담하니 자리차지도 많이 하지않아 더 좋습니다.",HFF_MAPPED,,non_facet,,,NON_FACET,,,"전문가가 디테일한 상담을 통해 필요한 것만 추천해가지고, 내영양에 필요한 것만 한번에 제공되니 편하고 좋습니다. 크기도 클까 걱정되었는데! 생각보다 아담하니 자리차지도 많이 하지않아 더 좋습니다. 전문가가 디테일한 상담을 통해 필요한 것만 추천해가지고, 내영양에 필요한 것만 한번에 제공되니 편하고 좋습니다. 크기도 클까 걱정되었는데! 생각보다 아담하니 자리차지도 많이 하지않아 더 좋습니다.",LOW,False
426,134,뉴트리미 마이팩 하루 한 포 맞춤영양제,health-functional-food,나에게 맞는 영양제라니 디테일한 상담에 빠른배송 감사해요!,HFF_MAPPED,배송,non_facet,,,NON_FACET,,,나에게 맞는 영양제라니 디테일한 상담에 빠른배송 감사해요! 나에게 맞는 영양제라니 디테일한 상담에 빠른배송 감사해요!,LOW,False
425,134,뉴트리미 마이팩 하루 한 포 맞춤영양제,health-functional-food,친절하게 상담 해주시고 몸에 적합한 영양제를 추천해주셨어요. 포장도 깔끔해요,HFF_MAPPED,포장,packaging:packaging,packaging,packaging,EXISTING_FACET,,,친절하게 상담 해주시고 몸에 적합한 영양제를 추천해주셨어요. 포장도 깔끔해요 친절하게 상담 해주시고 몸에 적합한 영양제를 추천해주셨어요. 포장도 깔끔해요,HIGH,False
424,134,뉴트리미 마이팩 하루 한 포 맞춤영양제,health-functional-food,내가 원하는 영양소만 먹을 수 있어서 좋아요!,HFF_MAPPED,,non_facet,,,NON_FACET,,,내가 원하는 영양소만 먹을 수 있어서 좋아요! 내가 원하는 영양소만 먹을 수 있어서 좋아요!,LOW,False
423,134,뉴트리미 마이팩 하루 한 포 맞춤영양제,health-functional-food,3교대하다 보니 생체리듬깨지고 몸상태 별로 않조은데 요즘 영양제 먹으니카 몸도 가뿐하고좋네요~~~,HFF_MAPPED,,non_facet,,,NON_FACET,,,3교대하다 보니 생체리듬깨지고 몸상태 별로 않조은데 요즘 영양제 먹으니카 몸도 가뿐하고좋네요~~~ 3교대하다 보니 생체리듬깨지고 몸상태 별로 않조은데 요즘 영양제 먹으니카 몸도 가뿐하고좋네요~~~,LOW,False
422,134,뉴트리미 마이팩 하루 한 포 맞춤영양제,health-functional-food,교대근무하면서 영양제 첑겨먹기 힘들얻는데 3개월동안 진짜 꼬박꼬박 챙커먹을수잏어서 좋아어요~~~,HFF_MAPPED,먹기 힘,intake_convenience:inconvenient,intake_convenience,inconvenient,EXISTING_FACET,,,교대근무하면서 영양제 첑겨먹기 힘들얻는데 3개월동안 진짜 꼬박꼬박 챙커먹을수잏어서 좋아어요~~~ 교대근무하면서 영양제 첑겨먹기 힘들얻는데 3개월동안 진짜 꼬박꼬박 챙커먹을수잏어서 좋아어요~~~,HIGH,False
421,134,뉴트리미 마이팩 하루 한 포 맞춤영양제,health-functional-food,만족해서 재구매 합니다,HFF_MAPPED,재구매,non_facet,,,NON_FACET,,,만족해서 재구매 합니다 만족해서 재구매 합니다,LOW,False
420,134,뉴트리미 마이팩 하루 한 포 맞춤영양제,health-functional-food,먹기 너무 간편해요~! 친절하게 상담도 해주시고 잘 먹어보겠습니당,HFF_MAPPED,간편,intake_convenience:convenient,intake_convenience,convenient,EXISTING_FACET,,,먹기 너무 간편해요~! 친절하게 상담도 해주시고 잘 먹어보겠습니당 먹기 너무 간편해요~! 친절하게 상담도 해주시고 잘 먹어보겠습니당,HIGH,False
419,134,뉴트리미 마이팩 하루 한 포 맞춤영양제,health-functional-food,편하게 섭취 가능해서 좋습니다,HFF_MAPPED,,non_facet,,,NON_FACET,,,편하게 섭취 가능해서 좋습니다 편하게 섭취 가능해서 좋습니다,LOW,False
418,1,"뉴트리미 에센셜 팩, 1개 150정(30포)",health-functional-food,다른 영양제와는 다른 느낌이네요 하루가 다릅니다 이제 가족이 함께 먹기로했습니다. 감사합니다~,HFF_MAPPED,,non_facet,,,NON_FACET,,,건강 다른 영양제와는 다른 느낌이네요 하루가 다릅니다 이제 가족이 함께 먹기로했습니다. 감사합니다~,LOW,False
417,1,"뉴트리미 에센셜 팩, 1개 150정(30포)",health-functional-food,항상 구매 해서 정말 잘 먹고 있습니다. 감사해요.,HFF_MAPPED,,non_facet,,,NON_FACET,,,좋아요 항상 구매 해서 정말 잘 먹고 있습니다. 감사해요.,LOW,False
415,72,뉴트리미 에센셜팩 2개월분 60포 (30포*2개) (개당 150정),health-functional-food,내가 꾸준이 복용해보고 좋아서 지인추천해 드렸어요~~,HFF_MAPPED,,non_facet,,,NON_FACET,,,지인추천 내가 꾸준이 복용해보고 좋아서 지인추천해 드렸어요~~,LOW,False
